stimulus,List,Concrete_m,Concrete_sd,Number_of_ratings,Number_of_N-respones,Number_of_subjects
achtertuin,4,4.40,0.74,15,0,15
achteruit,1,3.33,1.11,15,0,15
achteruitgang,1,2.93,1.49,15,0,15
achtervoegsel,1,1.87,1.13,15,0,15
achtervolgen,3,3.13,1.19,15,0,15
achtervolger,2,3.33,0.98,15,0,15
achtervolging,2,3.27,1.16,15,0,15
achterwaarts,2,3.27,1.03,15,0,15
achterwege,2,1.73,0.80,15,0,15
achterwerk,1,4.47,0.83,15,0,15
achterwiel,3,4.87,0.35,15,0,15
achterzak,3,4.47,0.52,15,0,15
achterzijde,2,3.80,0.77,15,0,15
achting,3,1.36,0.63,14,1,15
achtste,4,3.27,1.62,15,0,15
achttien,4,3.20,1.57,15,0,15
achttiende,2,2.73,1.33,15,0,15
acne,5,4.53,0.64,15,0,15
acoliet,5,3.00,1.41,6,9,15
acquisitie,5,1.69,1.18,13,2,15
acrobaat,2,4.07,0.80,15,0,15
acrobate,3,3.73,0.80,15,0,15
acrobatiek,3,3.20,1.01,15,0,15
acrobatisch,2,3.07,1.03,15,0,15
acroniem,1,1.93,1.27,14,1,15
acrostichon,3,1.00,0.00,1,14,15
act,1,2.60,1.45,15,0,15
acteerwerk,3,3.07,1.28,15,0,15
acteren,3,3.00,1.31,15,0,15
acteur,5,3.20,1.15,15,0,15
actie,4,2.33,0.98,15,0,15
actief,5,2.53,0.92,15,0,15
actiefilm,5,3.80,0.86,15,0,15
actiegroep,5,2.93,0.88,15,0,15
actiepunt,4,2.40,1.12,15,0,15
actieradius,3,2.09,0.94,11,4,15
actievoeren,3,2.67,1.35,15,0,15
activa,2,1.82,1.08,11,4,15
activatie,3,2.00,1.13,15,0,15
activeren,4,2.40,0.99,15,0,15
activering,4,2.60,0.91,15,0,15
activisme,4,1.64,0.84,14,1,15
activist,1,2.93,1.10,15,0,15
activiteit,5,2.20,1.32,15,0,15
actor,4,2.93,1.33,14,1,15
actrice,1,3.80,0.86,15,0,15
actualiseren,3,1.93,1.10,15,0,15
actualiteit,3,1.87,1.06,15,0,15
actueel,3,2.00,0.85,15,0,15
acupunctuur,4,4.14,1.03,14,1,15
acuut,5,1.80,1.08,15,0,15
adagio,2,2.43,1.13,7,8,15
adagium,2,2.00,1.41,5,10,15
adamsappel,4,4.47,0.83,15,0,15
adamskostuum,5,3.79,0.97,14,1,15
adaptatie,3,1.71,0.91,14,1,15
adapter,4,4.47,0.64,15,0,15
adaptief,4,1.64,0.50,14,1,15
addendum,2,2.75,1.49,8,7,15
adder,5,4.80,0.56,15,0,15
additief,2,1.67,0.62,15,0,15
additioneel,4,1.93,0.96,15,0,15
adel,4,2.87,1.36,15,0,15
adelaar,2,4.93,0.26,15,0,15
adelborst,5,2.20,1.03,10,5,15
adelbrief,1,2.73,1.42,11,4,15
adellijk,5,1.87,0.92,15,0,15
adelstand,3,2.00,0.93,15,0,15
adem,1,4.13,0.92,15,0,15
adembenemend,3,1.87,0.92,15,0,15
ademen,4,3.80,1.15,15,0,15
ademhalen,4,4.13,1.13,15,0,15
ademhaling,3,3.60,1.06,15,0,15
ademloos,2,2.87,0.99,15,0,15
ademnood,3,3.20,1.15,15,0,15
adempauze,3,3.07,1.22,15,0,15
ademtest,4,4.40,0.63,15,0,15
ademtocht,4,3.18,0.98,11,4,15
adept,5,1.90,0.88,10,5,15
adequaat,1,1.60,0.91,15,0,15
ader,1,4.53,0.83,15,0,15
aderlaten,1,3.67,1.23,12,3,15
aderlating,4,3.08,1.31,12,3,15
adhesie,3,1.92,1.12,13,2,15
